Ticker,Weight,WeightPct,InLatestEligibleBasket,Reason,Score,EligibleNow,Mom21,Mom63,Mom126,RS63VsSPY,RS126VsSPY,Vol63Ann,AboveSMA50,AboveSMA126,PositiveMom63,PositiveMom126,OutperformSPY63DiagnosticOnly,OutperformSPY126DiagnosticOnly
SGOV,0.16644523709598788,16.644523709598786,False,Cash/volatility-control sleeve or cash residual after pruning.,,,,,,,,,,,,,,
AVUV,0.08740265419935697,8.740265419935698,True,Current eligible ETF selected by the V5.7/V5.9b signal layer.,17.506317769496373,True,0.014330795987794742,0.0481885750017812,0.15369782681963318,0.008912167763477141,0.06839075082116408,0.12793591417751954,True,True,True,True,True,True
EIS,0.07635589211348402,7.635589211348402,False,Carryover/kept holding from prior rebalance; still above pruning threshold.,-1.9342693899921868,False,-0.009379190333061449,-0.08620734976209343,0.009019383227517386,-0.1254837570003975,-0.07628769277095171,0.26942683029970177,False,False,False,True,False,False
EWT,0.0753512970776566,7.53512970776566,False,Carryover/kept holding from prior rebalance; still above pruning threshold.,17.24833908299101,False,-0.07924849809483425,0.07313550896718768,0.41860132993153054,0.03385910172888362,0.33329425393306145,0.44256257117910736,False,True,True,True,True,True
THD,0.0698688720069542,6.98688720069542,True,Current eligible ETF selected by the V5.7/V5.9b signal layer.,17.64929914901126,True,0.01982683767787341,0.05429832411315494,0.18366528140660687,0.015021916874850882,0.09835820540813778,0.20842554731189275,True,True,True,True,True,True
EWY,0.06188449265860187,6.188449265860187,False,Carryover/kept holding from prior rebalance; still above pruning threshold.,-3.4287130329495694,False,-0.12790048497944395,-0.030246875904224257,0.28339189121472264,-0.06952328314252831,0.19808481521625354,0.8265198581638236,False,False,False,True,False,True
OIH,0.061726592700935196,6.1726592700935194,False,Carryover/kept holding from prior rebalance; still above pruning threshold.,1.7798246813728078,False,0.0701056480177622,-0.13473346063343694,0.10453796428955586,-0.174009867871741,0.019230888291086767,0.3071648059337144,False,False,False,True,False,True
SPYD,0.059383720803286105,5.938372080328611,True,Current eligible ETF selected by the V5.7/V5.9b signal layer.,17.26046730375035,True,0.0223048713733196,0.06855323962942927,0.11709033208144093,0.029276832391125218,0.031783256082971834,0.12265359533178623,True,True,True,True,True,True
XBI,0.058267652608175985,5.826765260817599,False,Carryover/kept holding from prior rebalance; still above pruning threshold.,14.873445210720494,False,-0.08382158571771314,0.12831089249654282,0.17959361004339436,0.08903448525823876,0.09428653404492526,0.309143645892268,True,True,True,True,True,True
AVDV,0.05199676552960668,5.199676552960668,False,Carryover/kept holding from prior rebalance; still above pruning threshold.,9.37168908225701,False,0.0021068878046448525,0.003918064952570521,0.04973511653579177,-0.035358342285733535,-0.03557195946267733,0.18620836252444012,False,True,True,True,False,False
CIBR,0.04969559853320196,4.969559853320196,True,Current eligible ETF selected by the V5.7/V5.9b signal layer.,29.429057154624722,True,0.012793687940170884,0.33666334731370684,0.3331711037060472,0.2973869400754028,0.2478640277075781,0.32345328893622394,True,True,True,True,True,True
LIT,0.04502495248980355,4.502495248980355,False,Carryover/kept holding from prior rebalance; still above pruning threshold.,-13.975317803728041,False,-0.09551806710039101,-0.21643874988837475,-0.006182112381291183,-0.2557151571266788,-0.09148918837976028,0.34525908302911923,False,False,False,False,False,False
GLDM,0.038395527896090284,3.8395527896090282,False,Carryover/kept holding from prior rebalance; still above pruning threshold.,-12.156058111701327,False,-0.017169505888640413,-0.12136826889529828,-0.16529530667089953,-0.16064467613360234,-0.25060238266936863,0.2403941796492968,False,False,False,False,False,False
XLE,0.03371063062100103,3.3710630621001028,False,Carryover/kept holding from prior rebalance; still above pruning threshold.,19.262927033408115,False,0.11894020802643324,0.0191922379168441,0.18259258083648144,-0.020084169321459955,0.09728550483801235,0.24221692643363554,True,True,True,True,False,True
MLPA,0.032245056832928845,3.2245056832928847,True,Current eligible ETF selected by the V5.7/V5.9b signal layer.,18.43532742255,True,0.06272230825110992,0.04925809767096667,0.14538849913722274,0.009981690432662615,0.06008142313875364,0.15526232252261737,True,True,True,True,True,True
XOP,0.032245056832928845,3.2245056832928847,True,Current eligible ETF selected by the V5.7/V5.9b signal layer.,21.96002260878355,True,0.1471805134290467,0.00905355451804013,0.276283186987055,-0.030222852720263926,0.1909761109885859,0.3105061661181474,True,True,True,True,False,True
