Month,Strategy,SPY,QQQ,VTI,StrategyMinusSPY,StrategyMinusQQQ,StrategyMinusVTI
2026-03-31,-0.0794927482745581,-0.04937956664344345,-0.04838259103173426,-0.05004837597028311,-0.03011318163111465,-0.031110157242823844,-0.02944437230427499
2022-06-30,-0.06935540143792851,-0.08246048516383875,-0.08907911281893499,-0.08231285614342432,0.013105083725910238,0.01972371138100648,0.012957454705495808
2022-09-30,-0.04164400581844363,-0.09244592114023009,-0.10535521681495341,-0.09230482190945544,0.05080191532178646,0.06371121099650978,0.05066081609101181
2023-09-30,-0.03731241402804897,-0.047434475693711176,-0.05079862937437696,-0.04801077219463412,0.010122061665662208,0.01348621534632799,0.010698358166585153
2024-12-31,-0.0358695637562374,-0.024059966165139612,0.00454037610265301,-0.030404585598722944,-0.011809597591097787,-0.04040993985889041,-0.005464978157514455
2021-11-30,-0.03514613322323901,-0.013725861449481735,0.012260804470118014,-0.02252652415609968,-0.02142027177375727,-0.04740693769335702,-0.012619609067139326
2026-07-31,-0.0329115445379935,0.0003481791700579162,-0.06573877318676946,-0.004945457376460016,-0.033259723708051414,0.032827228648775963,-0.02796608716153348
2023-08-31,-0.03207420224873436,-0.016252081919150507,-0.014829968726197018,-0.019312613963266112,-0.015822120329583855,-0.017244233522537344,-0.01276158828546825
2024-04-30,-0.03059197528218849,-0.04031968626469773,-0.04373770040214353,-0.04343978075527666,0.009727710982509241,0.013145725119955043,0.01284780547308817
2022-01-31,-0.023454917863132474,-0.05274118747209644,-0.08747055822109584,-0.060594670806775164,0.029286269608963966,0.06401564035796337,0.03713975294364269
2023-02-28,-0.022768344822501896,-0.02514257699047573,-0.003597692242727879,-0.024017815620782756,0.002374232167973833,-0.019170652579774017,0.0012494707982808606
2024-10-31,-0.02197362128082614,-0.008923430203221061,-0.008646356455964899,-0.007522171198015348,-0.013050191077605078,-0.01332726482486124,-0.01445145008281079
2026-06-30,-0.021346952489544213,-0.010292566443839246,-0.001490831230687828,-0.0038534790698642185,-0.011054386045704967,-0.019856121258856385,-0.017493473419679995
2022-12-31,-0.019445308250746862,-0.05762808532853414,-0.09013690079632253,-0.05855252440879932,0.03818277707778728,0.07069159254557567,0.03910721615805246
2023-05-31,-0.019274748636568195,0.004616047664556255,0.0788380366816055,0.004265479159739627,-0.02389079630112445,-0.09811278531817369,-0.023540227796307822
2023-10-31,-0.014206403091329256,-0.02170844297221386,-0.020654735004490554,-0.026458401596184178,0.007502039880884603,0.006448331913161298,0.012251998504854922
2023-03-31,-0.010982641569354912,0.03707793801918102,0.09492720184581094,0.027071020327658513,-0.048060579588535934,-0.10590984341516585,-0.038053661897013424
2025-03-31,-0.009753055129292698,-0.0557192122565362,-0.07586185742076368,-0.058553272919559585,0.0459661571272435,0.06610880229147098,0.04880021779026689
2024-08-31,-0.006222539881607592,0.02336562243215945,0.011038622544558896,0.02131563111480017,-0.02958816231376704,-0.017261162426166488,-0.027538170996407763
2022-04-30,-0.0038342826024538867,-0.08776909792943177,-0.13595743476440347,-0.09131628469970954,0.08393481532697789,0.1321231521619496,0.08748200209725565
2026-09-30,-0.000911396976820078,-0.003924137687930429,-0.01351917281849302,-0.004790650540515751,0.003012740711110351,0.012607775841672941,0.0038792535636956726
2025-07-31,0.0028405534416680034,0.023031446515752618,0.024236921367891684,0.022900112766552905,-0.020190893074084615,-0.02139636792622368,-0.0200595593248849
2022-02-28,0.005102591028412373,-0.029517055696582695,-0.04475952506677028,-0.02486674841327774,0.03461964672499507,0.04986211609518265,0.029969339441690113
2025-02-28,0.005153561408306473,-0.012694839644185163,-0.0270347304314843,-0.01888809100086375,0.017848401052491636,0.03218829183979077,0.024041652409170222
